,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Sortino,Alpha,Sd,Beta,Sharpe,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr
357,Idbi Focused 30 Equity Fund,500,5000,1.61,₹125Cr,5,Alok Ranjan,3.11,-0.57,16.02,0.94,1.29,6,IDBI Mutual Fund,3,Equity,Focused Funds,0.1,25.2,10.2
358,Idbi Gold Fund,500,5000,0.26,₹42Cr,10,Nitin Dattaram Dalvi,0.82,-0.02,16.54,1,0.42,5,IDBI Mutual Fund,3,Other,FoFs Domestic,15.0,12.1,12.9
359,Idbi Healthcare Fund,500,5000,1.24,₹49Cr,4,Alok Ranjan,1.57,-3.1,20.52,0.95,0.71,6,IDBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.0,17.1,
360,Idbi Hybrid Equity Fund,500,5000,1.67,₹171Cr,6,Alok Ranjan,2.66,-0.86,11.4,0.78,1.18,6,IDBI Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.8,17.5,7.0
361,Idbi India Top 100 Equity Fund,500,5000,1.26,₹599Cr,10,Alok Ranjan,2.94,0.51,15.82,0.93,1.36,6,IDBI Mutual Fund,4,Equity,Large Cap Mutual Funds,0.5,26.0,12.4
362,Idbi Liquid Fund,500,5000,0.13,₹763Cr,10,Raju Sharma,5.73,1.43,0.36,0.75,1.19,2,IDBI Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4
363,Idbi Long Term Value Fund,500,5000,1.67,₹92Cr,5,Alok Ranjan,2.89,1.21,16.51,0.94,1.36,6,IDBI Mutual Fund,2,Equity,Value Funds,-0.1,25.4,
364,Idbi Midcap Fund,500,5000,1.62,₹176Cr,6,Alok Ranjan,2.57,-5.96,17.76,0.97,1.27,6,IDBI Mutual Fund,1,Equity,Mid Cap Mutual Funds,-2.9,25.1,7.7
365,Idbi Nifty 50 Index Fund,500,5000,0.32,₹188Cr,10,Nisha Sharma,3.47,-0.9,16.78,1,1.29,6,IDBI Mutual Fund,3,Other,Index Funds,0.8,25.8,11.8
366,Idbi Nifty Next 50 Index Fund,500,5000,0.32,₹49Cr,10,Nisha Sharma,1.71,-4.78,18.03,0.98,0.96,6,IDBI Mutual Fund,1,Other,Index Funds,-6.1,21.8,6.2
367,Idbi Short Term Bond Fund,500,5000,0.28,₹29Cr,10,Raju Sharma,3.22,3.82,5,-0.57,0.92,2,IDBI Mutual Fund,4,Debt,Short Duration Funds,4.1,9.4,6.9
368,Idbi Small Cap Fund,500,5000,1.54,₹143Cr,6,Alok Ranjan,4.09,8.16,16.34,0.71,1.95,6,IDBI Mutual Fund,3,Equity,Small Cap Mutual Funds,2.1,38.5,12.6
369,Idbi Ultra Short Term Fund,500,5000,0.25,₹198Cr,10,Raju Sharma,1.68,1.14,0.72,0.15,1.29,2,IDBI Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,5.9
370,Iifl Dynamic Bond Fund,1000,5000,0.27,₹494Cr,10,Milan Mody,1.63,1.61,1.86,0.6,0.96,3,IIFL Mutual Fund,4,Debt,Dynamic Bond,3.3,6.0,6.5
371,Iifl Focused Equity Fund,1000,1000,0.9,"₹3,416Cr",8,Mayur Patel,3.39,3.78,16.2,0.91,1.56,6,IIFL Mutual Fund,5,Equity,Focused Funds,4.7,29.2,18.1
372,Iifl Liquid Fund,1000,5000,0.2,₹601Cr,9,Milan Mody,0.19,0.87,0.39,0.64,0.04,3,IIFL Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,4.8
373,Indiabulls Arbitrage Fund,1000,500,0.58,₹14Cr,8,Sumit Bhatnagar,-1.04,0.18,0.67,0.54,-0.82,1,Indiabulls Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,4.3,3.3,4.5
374,Indiabulls Bluechip Fund,500,500,1.27,₹91Cr,10,Sumit Bhatnagar,2.23,-3.4,16.22,0.94,1.1,6,Indiabulls Mutual Fund,2,Equity,Large Cap Mutual Funds,2.0,21.3,9.5
375,Indiabulls Dynamic Bond Fund,500,500,0.36,₹25Cr,4,Karan Singh,0.99,0.95,2.04,0.84,0.58,3,Indiabulls Mutual Fund,3,Debt,Dynamic Bond,4.2,5.2,
376,Indiabulls Equity Hybrid Fund,500,500,1.55,₹32Cr,4,Sumit Bhatnagar,2.77,0.47,12.71,0.87,1.29,5,Indiabulls Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,20.5,
377,Indiabulls Liquid Fund,500,500,0.22,₹212Cr,10,Karan Singh,1.28,0.95,0.36,0.63,0.28,2,Indiabulls Mutual Fund,1,Debt,Liquid Mutual Funds,5.4,4.0,5.2
378,Indiabulls Overnight Fund,500,500,0.18,₹42Cr,4,Karan Singh,-1.77,0.4,0.33,0.39,-0.36,1,Indiabulls Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,
379,Indiabulls Short Term Fund,500,500,0.38,₹25Cr,10,Karan Singh,1.15,4.88,1.55,2.83,0.7,3,Indiabulls Mutual Fund,2,Debt,Short Duration Funds,4.4,5.1,5.9
380,Indiabulls Tax Savings Fund,500,500,0.5,₹36Cr,5,Sumit Bhatnagar,2.52,-2.36,15.09,0.88,1.21,6,Indiabulls Mutual Fund,2,Equity,ELSS Mutual Funds,1.0,22.3,7.8
381,Indiabulls Value Fund,500,500,0.5,₹10Cr,8,Sumit Bhatnagar,2.9,-0.23,16.23,0.92,1.27,6,Indiabulls Mutual Fund,2,Equity,Value Funds,-0.2,25.6,6.3
382,Invesco India – Invesco Gei Fund,500,1000,0.73,₹12Cr,9,Amit Nigam,1.58,-,17.74,-,1.01,6,Invesco Mutual Fund,0,Other,FoFs Overseas,9.5,24.4,9.5
383,Invesco India Arbitrage Fund,500,1000,0.38,"₹3,184Cr",10,Deepak Gupta,2.16,1.77,0.71,0.53,1.5,1,Invesco Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,6.4,5.0,5.6
384,Invesco India Banking & Psu Debt Fund,1000,1000,0.28,₹131Cr,10,Vikas Garg,0.33,4.59,3.47,2.79,0.25,3,Invesco Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.3,5.8,6.4
385,Invesco India Contra Fund,500,1000,0.62,"₹9,347Cr",10,Taher Badshah,3.5,2.27,16.24,0.94,1.45,6,Invesco Mutual Fund,4,Equity,Contra Funds,2.8,27.6,12.3
386,Invesco India Corporate Bond Fund,100,1000,0.28,"₹2,065Cr",10,Vikas Garg,1.56,1.51,1.86,0.67,0.91,2,Invesco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,3.7,6.4,6.9
387,Invesco India Credit Risk Fund,1000,1000,0.28,₹129Cr,9,Vikas Garg,2.95,9.17,2.89,4.76,0.97,2,Invesco Mutual Fund,2,Debt,Credit Risk Funds,4.4,6.0,3.5
388,Invesco India Dynamic Equity Fund,500,1000,0.95,₹612Cr,10,Amit Ganatra,2.84,0.76,9.2,0.59,1.27,6,Invesco Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,15.4,7.4
389,Invesco India Equity & Bond Fund,500,1000,0.76,₹378Cr,5,Dhimant Kothari,2.71,1.1,10.94,0.71,1.29,6,Invesco Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,1.5,17.4,
390,Invesco India Equity Savings Fund,500,1000,0.73,₹132Cr,4,Dhimant Kothari,1.9,0.17,5.58,0.82,1.08,4,Invesco Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,1.2,9.6,
391,Invesco India Financial Services Fund,100,1000,1.08,₹472Cr,10,Hiten Jain,2.16,1.74,21.36,0.8,1,6,Invesco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.9,22.6,10.9
392,Invesco India Gilt Fund,100,1000,0.48,₹22Cr,10,Vikas Garg,0.08,-0.44,2.51,0.54,0.06,2,Invesco Mutual Fund,1,Debt,Gilt Mutual Funds,4.9,4.2,6.7
393,Invesco India Gold Fund,500,1000,0.16,₹59Cr,10,Krishna Cheemalapati,1.22,0.29,14.79,1.03,0.51,5,Invesco Mutual Fund,4,Other,FoFs Domestic,13.2,11.5,13.2
394,Invesco India Growth Opportunities Fund,100,1000,0.66,"₹3,665Cr",10,Amit Ganatra,2.85,0.23,15.03,0.84,1.3,6,Invesco Mutual Fund,3,Equity,Large & Mid Cap Funds,0.8,22.8,11.0
395,Invesco India Infrastructure Fund,500,1000,1.08,₹445Cr,10,Amit Nigam,3.6,8.67,17.74,0.61,1.59,6,Invesco Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,8.9,33.2,14.6
396,Invesco India Largecap Fund,100,1000,0.81,₹724Cr,10,Amit Nigam,2.62,-0.23,16.09,0.92,1.28,6,Invesco Mutual Fund,4,Equity,Large Cap Mutual Funds,-1.8,24.0,11.1
397,Invesco India Liquid Fund,500,1000,0.15,"₹6,434Cr",10,Krishna Cheemalapati,4.13,1.31,0.37,0.75,0.83,2,Invesco Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
398,Invesco India Medium Duration Fund,1000,1000,0.4,₹306Cr,2,Vikas Garg,-,-,-,-,-,3,Invesco Mutual Fund,2,Debt,Medium Duration Funds,3.5,,
399,Invesco India Midcap Fund,500,1000,0.72,"₹2,618Cr",10,Pranav Gokhale,3.31,-0.38,15.97,0.86,1.56,6,Invesco Mutual Fund,3,Equity,Mid Cap Mutual Funds,0.2,33.5,14.6
400,Invesco India Money Market Fund,1000,1000,0.22,"₹2,294Cr",10,Krishna Cheemalapati,1.82,3.07,0.8,1.61,1.14,2,Invesco Mutual Fund,2,Debt,Money Market Funds,5.0,5.1,5.8
401,Invesco India Multicap Fund,500,1000,0.65,"₹2,347Cr",10,Pranav Gokhale,2.86,2.38,16.67,0.91,1.43,6,Invesco Mutual Fund,0,Equity,Multi Cap Funds,1.4,27.0,11.0
402,Invesco India Overnight Fund,100,1000,0.09,₹337Cr,3,Krishna Cheemalapati,-0.3,0.55,0.35,0.42,-0.06,1,Invesco Mutual Fund,3,Debt,Overnight Mutual Funds,5.3,3.8,
403,Invesco India Psu Equity Fund,500,1000,0.96,₹394Cr,10,Dhimant Kothari,2.73,3.08,18.45,0.66,1.19,6,Invesco Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,16.2,26.5,12.6
404,Invesco India Short Term Fund,1000,1000,0.35,₹350Cr,10,Vikas Garg,1.31,4.41,1.93,2.19,0.76,2,Invesco Mutual Fund,2,Debt,Short Duration Funds,3.9,6.2,6.8
405,Invesco India Smallcap Fund,500,1000,0.78,"₹1,400Cr",4,Taher Badshah,3.38,3.51,18.25,0.82,1.7,6,Invesco Mutual Fund,3,Equity,Small Cap Mutual Funds,3.5,34.6,
406,Invesco India Tax Plan – Direct Growth,500,500,0.92,"₹1,833Cr",10,Amit Nigam,2.21,-2.63,16.3,0.94,1.19,6,Invesco Mutual Fund,3,Equity,ELSS Mutual Funds,-5.2,22.4,10.8
407,Invesco India Treasury Advantage Fund,100,1000,0.32,"₹1,230Cr",10,Krishna Cheemalapati,2.9,2.95,0.93,1.27,1.34,2,Invesco Mutual Fund,2,Debt,Low Duration Funds,4.9,5.6,6.4
408,Invesco India Ultra Short Term Fund,1000,1000,0.24,₹818Cr,10,Krishna Cheemalapati,3.4,2.51,0.57,1.2,1.59,2,Invesco Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,6.0
409,Iti Arbitrage Fund,500,5000,0.22,₹7Cr,4,Vikrant Mehta,-1.02,-0.04,0.65,0.31,-0.71,1,ITI Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,3.9,3.3,
410,Iti Balanced Advantage Fund,500,5000,0.35,₹452Cr,3,Dhimant Shah,2.56,-0.95,11.13,0.59,0.88,6,ITI Mutual Fund,1,Hybrid,Dynamic Asset Allocation or Balanced Advantage,-0.2,12.3,
411,Iti Banking & Psu Debt Fund,500,5000,0.15,₹27Cr,2,Vikrant Mehta,-,-,-,-,-,2,ITI Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.4,,
412,Iti Dynamic Bond Fund,500,5000,0.14,₹57Cr,2,Vikrant Mehta,-,-,-,-,-,2,ITI Mutual Fund,5,Debt,Dynamic Bond,5.7,,
413,Iti Liquid Fund,500,5000,0.09,₹31Cr,4,Vikrant Mehta,-0.02,0.63,0.37,0.47,0,1,ITI Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,
414,Iti Long Term Equity Fund,500,500,0.44,₹156Cr,3,Dhimant Shah,3.29,0.26,15.59,0.86,1.31,6,ITI Mutual Fund,2,Equity,ELSS Mutual Funds,5.6,23.7,
415,Iti Overnight Fund,500,5000,0.08,₹26Cr,3,Vikrant Mehta,-1.11,0.48,0.34,0.42,-0.22,1,ITI Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,
416,Iti Small Cap Fund,500,5000,0.44,"₹1,015Cr",3,Dhimant Shah,2.41,-4.78,21.23,0.95,1.27,6,ITI Mutual Fund,1,Equity,Small Cap Mutual Funds,6.5,29.4,
417,Iti Ultra Short Duration Fund,500,5000,0.1,₹119Cr,2,Vikrant Mehta,-,-,-,-,-,2,ITI Mutual Fund,2,Debt,Ultra Short Duration Funds,5.3,,
418,Jm Arbitrage Fund,500,5000,0.36,₹60Cr,10,Asit Bhandarkar,-0.31,0.56,0.72,0.55,-0.23,1,JM Financial Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,5.4,3.7,4.5
419,Jm Dynamic Bond Fund,1000,5000,0.63,₹43Cr,10,Gurvinder Singh Wasan,1.64,1.34,1.61,0.65,0.95,2,JM Financial Mutual Fund,4,Debt,Dynamic Bond,4.8,6.0,6.1
420,Jm Equity Hybrid Fund,500,5000,1.37,₹11Cr,10,Asit Bhandarkar,3.79,5.95,17.44,1,1.4,6,JM Financial Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,8.0,29.5,11.2
421,Jm Flexicap Fund,500,5000,1.62,₹255Cr,10,Gurvinder Singh Wasan,3.67,1.75,16.28,0.9,1.4,6,JM Financial Mutual Fund,4,Equity,Flexi Cap Funds,5.2,30.7,13.8
422,Jm Focused Fund,500,5000,1.58,₹42Cr,10,Gurvinder Singh Wasan,2.5,-2.98,16.71,0.93,1.08,6,JM Financial Mutual Fund,1,Equity,Focused Funds,3.1,19.4,8.6
423,Jm Large Cap Fund,500,5000,1.8,₹44Cr,10,Gurvinder Singh Wasan,2.94,-0.69,12.03,0.67,1.2,6,JM Financial Mutual Fund,5,Equity,Large Cap Mutual Funds,1.8,18.3,10.4
424,Jm Liquid Fund,1000,5000,0.15,"₹1,426Cr",10,Shalini Tibrewala,3.82,1.22,0.36,0.68,0.86,2,JM Financial Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.2,5.3
425,Jm Low Duration Fund,1000,5000,0.34,₹151Cr,10,Shalini Tibrewala,12.57,9.03,11.61,1.19,0.64,2,JM Financial Mutual Fund,4,Debt,Low Duration Funds,5.1,11.5,5.3
426,Jm Medium To Long Duration Fund,1000,5000,0.48,₹19Cr,10,Gurvinder Singh Wasan,0.28,0.23,3.03,1.39,0.2,3,JM Financial Mutual Fund,2,Debt,Medium to Long Duration Funds,2.5,4.8,3.1
427,Jm Tax Gain Fund,500,500,1.45,₹70Cr,10,Gurvinder Singh Wasan,2.94,0.39,16.56,0.93,1.35,6,JM Financial Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,26.2,12.8
428,Jm Value Fund,500,5000,1.87,₹163Cr,10,Gurvinder Singh Wasan,3.94,4.56,16.13,0.89,1.53,6,JM Financial Mutual Fund,2,Equity,Value Funds,7.7,28.9,12.4
429,Kotak Balanced Advantage Fund,1000,1000,0.48,"₹14,279Cr",5,Harish Krishnan,4.01,3.56,8.76,0.56,1.59,6,Kotak Mahindra Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.5,18.1,
430,Kotak Banking And Psu Debt Fund,1000,5000,0.37,"₹5,256Cr",10,Deepak Agrawal,1.87,4.03,2.03,1.45,1.03,3,Kotak Mahindra Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.7,6.7,7.5
431,Kotak Bluechip Fund,100,1000,0.64,"₹5,259Cr",10,Harish Krishnan,3.48,1.75,15.3,0.91,1.45,6,Kotak Mahindra Mutual Fund,5,Equity,Large Cap Mutual Funds,3.3,26.8,12.6
432,Kotak Bond – Short Term Fund,1000,5000,0.36,"₹12,203Cr",10,Deepak Agrawal,1.89,4.73,1.76,2.06,1.12,3,Kotak Mahindra Mutual Fund,3,Debt,Short Duration Funds,4.4,6.5,7.2
433,Kotak Bond Fund,1000,5000,0.63,"₹1,584Cr",10,Abhishek Bisen,0.72,1.47,3.19,1.57,0.6,2,Kotak Mahindra Mutual Fund,3,Debt,Medium to Long Duration Funds,4.1,6.4,7.7
434,Kotak Corporate Bond Fund,1000,5000,0.32,"₹8,880Cr",10,Deepak Agrawal,2.25,1.73,1.54,0.59,1.23,2,Kotak Mahindra Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.5,6.4,7.1
435,Kotak Credit Risk Fund,1000,5000,0.74,"₹1,204Cr",10,Deepak Agrawal,0.42,0.82,2.92,-0.4,0.47,5,Kotak Mahindra Mutual Fund,2,Debt,Credit Risk Funds,1.6,5.9,6.4
436,Kotak Debt Hybrid Fund,1000,5000,0.44,"₹1,650Cr",10,Devender Singhal,3.44,4.79,4.73,0.7,2.06,4,Kotak Mahindra Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,6.1,14.3,10.0
437,Kotak Dynamic Bond Fund,1000,5000,0.4,"₹1,992Cr",10,Deepak Agrawal,1,1.66,2.95,1.32,0.69,3,Kotak Mahindra Mutual Fund,4,Debt,Dynamic Bond,3.9,6.6,7.8
438,Kotak Emerging Equity Fund,100,100,0.49,"₹23,962Cr",10,Pankaj Tibrewal,3.73,3.18,16.42,0.9,1.82,6,Kotak Mahindra Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.6,34.0,15.2
439,Kotak Equity Arbitrage Fund,1000,5000,0.43,"₹21,917Cr",10,Hiten Shah,1.46,1.66,0.75,0.54,1.26,1,Kotak Mahindra Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.8,4.9,5.6
440,Kotak Equity Hybrid Fund,1000,5000,0.58,"₹3,269Cr",8,Pankaj Tibrewal,3.89,7.32,11.76,0.79,1.86,6,Kotak Mahindra Mutual Fund,0,Hybrid,Aggressive Hybrid Mutual Funds,5.0,26.9,12.8
441,Kotak Equity Opportunities – Direct Growth,500,500,0.6,"₹11,608Cr",10,Harsha Upadhyaya,3.43,4.72,14.62,0.84,1.64,6,Kotak Mahindra Mutual Fund,4,Equity,Large & Mid Cap Funds,6.2,28.8,13.9
442,Kotak Equity Savings Fund,1000,5000,1.02,"₹2,097Cr",8,Devender Singhal,4.22,4.5,5.64,0.79,1.8,4,Kotak Mahindra Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.6,14.4,9.2
443,Kotak Flexi Cap Fund,500,5000,0.68,"₹35,775Cr",10,Harsha Upadhyaya,2.7,0.11,15.22,0.88,1.37,6,Kotak Mahindra Mutual Fund,3,Equity,Flexi Cap Funds,3.8,25.0,11.7
444,Kotak Floating Rate Fund,1000,5000,0.22,"₹4,796Cr",4,Deepak Agrawal,1.86,3.79,2.35,1.03,1.02,2,Kotak Mahindra Mutual Fund,2,Debt,Floater Mutual Funds,4.6,7.0,
445,Kotak Focused Equity Fund,1000,5000,0.51,"₹2,447Cr",4,Shibani Kurian,2.85,1.39,15.69,0.9,1.44,6,Kotak Mahindra Mutual Fund,3,Equity,Focused Funds,0.5,26.6,
446,Kotak Gilt – Invest Plan – Direct Growth,1000,5000,0.41,"₹1,699Cr",10,Abhishek Bisen,0.81,1.3,3.24,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
447,Kotak Gilt Invest – Pf & Trust Plan – Direct Growth,1000,5000,0.41,"₹1,699Cr",10,Abhishek Bisen,0.81,1.3,3.23,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
448,Kotak Gold Fund,1000,5000,0.18,"₹1,406Cr",10,Abhishek Bisen,1.08,-0.32,13.51,0.97,0.48,5,Kotak Mahindra Mutual Fund,3,Other,FoFs Domestic,14.2,12.2,13.7
449,Kotak India Eq Contra Fund,1000,5000,0.81,"₹1,440Cr",10,Shibani Kurian,3.35,4.24,15.95,0.92,1.57,6,Kotak Mahindra Mutual Fund,4,Equity,Contra Funds,7.3,29.7,14.2
450,Kotak India Growth Fund,0,5000,0.34,₹90Cr,5,Devender Singhal,3.71,7.67,17.23,0.95,1.75,6,Kotak Mahindra Mutual Fund,0,Equity,Multi Cap Funds,4.8,35.5,15.6
451,Kotak Infrastructure & Ecoc. Reform-Sp-Dirgrowth,1000,5000,1.0,₹727Cr,10,Harish Krishnan,4.55,14.15,16.65,0.6,2,6,Kotak Mahindra Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,23.2,39.7,13.9
452,Kotak Liquid Fund,1000,100,0.15,"₹33,220Cr",10,Deepak Agrawal,3.68,1.33,0.38,0.76,0.85,3,Kotak Mahindra Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
453,Kotak Low Duration Fund,1000,5000,0.43,"₹7,420Cr",10,Deepak Agrawal,2.67,2.9,1.3,0.78,1.43,3,Kotak Mahindra Mutual Fund,3,Debt,Low Duration Funds,5.4,6.2,6.9
454,Kotak Medium Term Fund,1000,5000,0.58,"₹1,934Cr",9,Deepak Agrawal,0.71,2.04,3.41,0.79,0.66,3,Kotak Mahindra Mutual Fund,4,Debt,Medium Duration Funds,4.0,7.0,6.6
455,Kotak Money Market Fund,0,5000,0.26,"₹14,248Cr",10,Deepak Agrawal,4.43,2.59,0.51,1.2,1.92,3,Kotak Mahindra Mutual Fund,3,Debt,Money Market Funds,5.6,5.1,6.1
456,Kotak Multi Asset Allocator Fof – Dynamic – Direct Growth,1000,5000,0.13,₹783Cr,10,Devender Singhal,4.33,8.04,10.99,0.7,1.91,5,Kotak Mahindra Mutual Fund,0,Other,FoFs Domestic,11.2,25.0,15.3
457,Kotak Overnight Fund,0,5000,0.07,"₹8,999Cr",4,Deepak Agrawal,-0.1,0.56,0.35,0.42,-0.02,1,Kotak Mahindra Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
458,Kotak Savings Fund,1000,5000,0.37,"₹12,325Cr",10,Deepak Agrawal,4.14,2.57,0.58,1.12,1.85,3,Kotak Mahindra Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,6.2
459,Kotak Small Cap Fund,500,500,0.59,"₹8,617Cr",10,Pankaj Tibrewal,4.06,8.99,18.26,0.81,1.98,6,Kotak Mahindra Mutual Fund,4,Equity,Small Cap Mutual Funds,-0.7,43.1,17.0
460,Kotak Tax Saver Fund,500,500,0.69,"₹3,167Cr",10,Harsha Upadhyaya,3.36,4.69,14.44,0.83,1.68,6,Kotak Mahindra Mutual Fund,4,Equity,ELSS Mutual Funds,5.0,28.9,14.4
461,L&T Focused Equity Fund,500,5000,1.09,₹946Cr,4,Venugopal Manghat,-,-,-,-,-,6,L&T Mutual Fund,3,Equity,Focused Funds,-0.7,33.7,11.3
462,L&T India Large Cap Fund,500,5000,1.49,₹757Cr,10,Venugopal Manghat,2.6,-2.34,16.62,0.97,1.18,6,L&T Mutual Fund,2,Equity,Large Cap Mutual Funds,0.8,33.0,12.1
463,Lic Mf Arbitrage Fund,1000,5000,0.31,₹27Cr,4,Jaiprakash Toshniwal,0.67,1.23,0.78,0.6,0.55,1,LIC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.5,4.4,
464,Lic Mf Banking & Fina Serv Fund,1000,5000,1.54,₹121Cr,8,Jaiprakash Toshniwal,2.19,0.9,22.14,0.85,0.97,6,LIC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.9,22.7,8.5
465,Lic Mf Banking & Psu Debt Fund,1000,5000,0.28,"₹1,190Cr",10,Marzban Irani,1.49,3.94,1.53,2.05,0.78,2,LIC Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.2,5.7,6.8
466,Lic Mf Bond Fund,1000,5000,0.21,₹111Cr,10,Marzban Irani,0.32,0.23,2.6,1.24,0.22,3,LIC Mutual Fund,2,Debt,Medium to Long Duration Funds,4.4,4.7,6.2
467,Lic Mf Children’S Gift Fund,1000,5000,1.86,₹12Cr,10,Karan Desai,2.54,-3.65,13.05,0.9,0.99,6,LIC Mutual Fund,1,Solution Oriented,Childrens Funds,-1.9,17.1,7.6
468,Lic Mf Debt Hybrid Fund,1000,5000,1.34,₹61Cr,10,Karan Desai,2.11,-0.54,4.14,0.61,0.92,4,LIC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.5,8.1,6.7
469,Lic Mf Equity Hybrid Fund,1000,5000,1.43,₹378Cr,10,Karan Desai,2.26,-2.85,11.49,0.77,0.99,6,LIC Mutual Fund,1,Hybrid,Aggressive Hybrid Mutual Funds,-0.5,15.1,8.3
470,Lic Mf Flexi Cap Fund,1000,5000,1.74,₹383Cr,10,Amit Nadekar,2.15,-4.31,14.27,0.8,1.02,6,LIC Mutual Fund,2,Equity,Flexi Cap Funds,-0.9,18.3,8.8
471,Lic Mf G-Sec Fund,1000,5000,0.76,₹46Cr,10,Marzban Irani,0.51,0.27,2.23,0.45,0.35,2,LIC Mutual Fund,3,Debt,Gilt Mutual Funds,3.3,4.9,7.7
472,Lic Mf Infrastructure Fund,1000,5000,1.47,₹90Cr,10,Yogesh Patil,3.89,7.11,16.12,0.57,1.56,6,LIC Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,6.7,29.8,11.2
473,Lic Mf Large & Mid Cap Fund,1000,5000,0.84,"₹1,888Cr",8,Yogesh Patil,2.59,0.78,14.89,0.84,1.34,6,LIC Mutual Fund,3,Equity,Large & Mid Cap Funds,-4.3,22.8,10.9
474,Lic Mf Large Cap Fund,1000,5000,1.39,₹648Cr,10,Yogesh Patil,2.37,-3.35,15.42,0.88,1.08,6,LIC Mutual Fund,2,Equity,Large Cap Mutual Funds,-3.2,19.7,10.9
475,Lic Mf Liquid Fund,1000,5000,0.16,"₹5,996Cr",10,Rahul Singh,4.72,1.33,0.37,0.73,0.97,3,LIC Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.3
476,Lic Mf Nifty 50 Index Fund,1000,5000,0.2,₹53Cr,10,Jaiprakash Toshniwal,3.44,-0.85,16.75,1,1.3,6,LIC Mutual Fund,3,Other,Index Funds,1.0,25.8,11.7
477,Lic Mf Overnight Fund,1000,5000,0.07,₹951Cr,4,Rahul Singh,0.11,0.57,0.35,0.42,0.02,1,LIC Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
478,Lic Mf S&P Bse Sensex Index Fund,1000,5000,0.38,₹68Cr,10,Jaiprakash Toshniwal,3.4,-1.81,16.89,1,1.23,6,LIC Mutual Fund,3,Other,Index Funds,2.2,25.4,12.6
479,Lic Mf Savings Fund,1000,5000,0.27,₹707Cr,10,Rahul Singh,4.54,2.95,1.02,1.01,1.57,2,LIC Mutual Fund,3,Debt,Low Duration Funds,5.0,5.9,5.6
480,Lic Mf Short Term Debt Fund,1000,5000,0.37,₹110Cr,4,Marzban Irani,1.26,4.66,1.61,2.57,0.76,3,LIC Mutual Fund,2,Debt,Short Duration Funds,3.7,5.7,
